순서,도로명주소,위도,경도,수거쓰레기종류
140,서울특별시 종로구 창덕궁길 172-2,37.5831987,126.9864456,의류
141,서울특별시 종로구 북촌로8길 24,37.5808561,126.9864547,의류
142,서울특별시 종로구 북촌로8길 7,37.5810652,126.9856254,의류
143,서울특별시 종로구 북촌로5나길 84,37.5842394,126.9827858,의류
144,서울특별시 종로구 북촌로11나길 26,37.5821715,126.9822591,의류
145,서울특별시 종로구 삼청로5길 30,37.5830549,126.9802205,의류
146,서울특별시 종로구 창신6가길 12,37.5749626,127.0118819,의류
147,서울특별시 종로구 지봉로13가길 65,37.5761524,127.0130096,의류
148,서울특별시 종로구 창신10길 5-1,37.5782571,127.0093364,의류
149,서울특별시 종로구 창신길 129,37.5770598,127.0094655,의류
150,서울특별시 종로구 창신8길 3,37.5769669,127.0102026,의류
150,서울특별시 종로구 창신7길 8,37.5758933,127.0100471,의류
152,서울특별시 종로구 창신5길 19-5,37.5741487,127.0115304,의류
153,서울특별시 종로구 창신5길 44,37.5744383,127.0127606,의류
154,서울특별시 종로구 지봉로11길 10,37.5768434,127.0148345,의류
155,서울특별시 종로구 창신11길 67,37.5771884,127.0119091,의류
156,서울특별시 종로구 종로1길 36,37.5735209,126.9790486,의류
157,서울특별시 종로구 종로53길 24,37.5734991,127.0135767,의류
158,서울특별시 종로구 낙산성곽동길 69,37.5785572,127.0085965,의류
159,서울특별시 종로구 낙산성곽길 12-2,37.5725737,127.0095928,의류
160,서울특별시 종로구 창신6길 22,37.5753399,127.0117411,의류
161,서울특별시 종로구 숭인동 2길 36-4,37.5782102,127.0199111,의류
162,서울특별시 종로구 종로 63가길 31,37.5754517,127.0186681,의류
163,서울특별시 종로구 종로63길 14,37.5746772,127.0187121,의류
164,서울특별시 종로구 지봉로 12가길 56-2,37.5749954,127.0168853,의류
165,서울특별시 종로구 종로63라길 11,37.5743572,127.0181616,의류
166,서울특별시 종로구 종로57길 22,37.5743448,127.0166674,의류
167,서울특별시 종로구 지봉로 12길 9,37.5771592,127.0159625,의류
168,서울특별시 종로구 지봉로 12가길 9,37.5767432,127.0168623,의류
169,서울특별시 종로구 지봉로 12길 25,37.5773522,127.0164241,의류
170,서울특별시 종로구 지봉로 98,37.5788141,127.0155897,의류
171,서울특별시 종로구 지봉로 12길 12,37.5769454,127.0162597,의류
172,자하문로1길 12,37.5765639,126.971723,담배꽁초
173,자하문로1길 50-1,37.5769959,126.969651,담배꽁초
174,자하문로1길 34,37.5765997,126.970534,담배꽁초
175,자하문로1길 49-4,37.5767526,126.969527,담배꽁초
176,자하문로1길 33,37.5764645,126.970376,담배꽁초
177,자하문로1길 33,37.5764645,126.970376,담배꽁초
178,자하문로1길 21,37.5763566,126.971168,담배꽁초
179,자하문로1길 5,37.5764379,126.972131,담배꽁초
180,자하문로1길 3,37.5764379,126.972131,담배꽁초
181,자하문로 39,37.579555,126.971077,담배꽁초
182,자하문로 2,37.5763389,126.972708,담배꽁초
183,자하문로1길 32,37.5765456,126.970614,담배꽁초
184,필운대로 9-2,37.5771489,126.969096,담배꽁초
185,통일로16길 3,37.5755953,126.957064,담배꽁초
186,종로 1 교보생명 앞,37.5709431,126.977906,담배꽁초
187,종로 1 교보생명 앞,37.5709431,126.977906,담배꽁초
188,청계천로 35,37.5693851,126.981347,담배꽁초
189,서순라길 3,37.5707921,126.993697,담배꽁초
190,서순라길 7,37.5710353,126.993685,담배꽁초
191,종로3가 2-1,37.5704944,126.98952,담배꽁초
192,돈화문로 32-1,37.5714677,126.992089,담배꽁초
193,돈화문로 35,37.5715668,126.991636,담배꽁초
194,자하문로 28,37.5786002,126.971824,일반쓰레기
195,자하문로 28,37.5786002,126.971824,재활용
196,자하문로 44,37.5799606,126.971529,일반쓰레기
197,자하문로 44,37.5799606,126.971529,재활용
198,자하문로 68(효자동 정류소),37.5820958,126.970928,일반쓰레기
199,자하문로 68(효자동 정류소),37.5820958,126.970928,재활용
200,자하문로13-4앞,37.5801496,126.970861,일반쓰레기
201,자하문로13-4앞,37.5801496,126.970861,재활용
202,삼청로1 맞은편 인도,37.5759255,126.977451,일반쓰레기
203,삼청로1 맞은편 인도,37.5759255,126.977451,재활용
204,자하문로 13-2,37.5773569,126.971949,일반쓰레기
205,자하문로 13-2,37.5773569,126.971949,재활용
206,자하문로 82(경복궁 아트홀),37.5833391,126.970679,일반쓰레기
207,자하문로 82(경복궁 아트홀),37.5833391,126.970679,재활용
